LINK_DIR,MEAN_ALL,PcntSpeed_85thAll,PcntSpeed_5thAll,TotalIntervals_85thAll,PcntInterval_85thAll,StdDev_85thAll,MEAN_Wkd,PcntSpeed_85thWd,PcntSpeed_5thWd,TotalIntervals_85thWd,PcntInterval_85thWd,StdDev_85thWd,MEAN_WEnd,PcntSpeed_85thWend,TotalIntervals_85thWend,PcntInterval_85thWend,StdDev_85thWend,MEAN_Wdtime,PcntSpeed_60thWdtime,PcntSpeed_85thWdtime,PcntSpeed_5thWdtime,TotalIntervals_Wdtime,PcntInterval_Wdtime,StdDev_Wdtime,MEAN_WkdAM,PcntSpeed_5thWdayAM,AvgSpeed_WdayAM,TotalIntervals_WdayAM,PcntInterval_WdayAM,StdDev_WdayAM,MEAN_WkdMD,PcntSpeed_5thWdayMD,AvgSpeed_WdayMD,TotalIntervals_WdayMD,PcntInterval_WdayMD,StdDev_WdayMD,MEAN_WkdPM,PcntSpeed_5thWdayPM,AvgSpeed_WdayPM,TotalIntervals_WdayPM,PcntInterval_WdayPM,StdDev_WdayPM,TTI_SL_AM,PTI_SL_AM,TTI_85thALL_AM,PTI_85thALL_AM,BTI_AM,TTI_SL_MD,PTI_SL_MD,TTI_85thAll_MD,PTI_85thAll_MD,BTI_MD,TTI_SL_PM,PTI_SL_PM,TTI_85thAll_PM,PTI_85thAll_PM,BTI_PM,TTI_85thWd_AM,PTI_85thWd_AM,TTI_85thWd_MD,PTI_85thWd_MD,TTI_85thWd_PM,PTI_85thWd_PM,TTI_60thWdtime_AM,PTI_60thWdtime_AM,TTI_85thWdtime_AM,PTI_85thWdtime_AM,TTI_60thWdtime_MD,PTI_60thWdtime_MD,TTI_85thWdtime_MD,PTI_85thWdtime_MD,TTI_60thWdtime_PM,PTI_60thWdtime_PM,TTI_85thWdtime_PM,PTI_85thWdtime_PM
111990715T,30.719,41.006,13.669,18709,17.798,11.482,30.328,41.006,13.669,15744,21.522,11.418,32.552,42.87,2751,9.185,11.577,29.802,32.929,40.384,13.047,13302,31.173,11.441,28.82,13.669,28.82,2409,26.345,11.417,30.329,14.29,30.329,6378,34.875,10.957,28.916,11.183,28.916,3419,37.391,12.162,1.534,3.273,1.374,2.932,1.134,1.467,3.13,1.325,2.826,1.134,1.518,4.0,1.37,3.611,1.636,1.358,2.864,1.332,2.826,1.392,3.6,1.078,2.273,1.358,2.864,1.096,2.326,1.332,2.826,1.117,2.889,1.392,3.6
111990717F,28.481,39.142,11.183,17393,16.546,12.192,28.147,38.521,11.183,14666,20.049,12.025,30.139,40.384,2542,8.487,12.85,27.687,30.444,37.899,10.562,13286,31.135,12.017,24.615,8.698,24.615,2419,26.455,12.128,29.171,11.805,29.171,6685,36.554,11.945,26.62,10.562,26.62,3267,35.728,11.759,1.759,5.143,1.478,4.322,1.924,1.521,3.789,1.342,3.342,1.491,1.669,4.235,1.344,3.412,1.538,1.464,4.143,1.342,3.316,1.33,3.353,1.06,3.0,1.464,4.143,1.108,2.737,1.342,3.316,1.097,2.765,1.33,3.353
111990719T,35.426,45.169,19.26,18788,17.873,10.564,34.939,44.734,18.639,15809,21.611,10.473,37.77,47.219,2767,9.238,10.729,34.518,37.899,44.112,18.018,13297,31.161,10.665,32.717,17.396,32.717,2378,26.006,10.703,35.694,20.503,35.694,6445,35.242,10.003,32.758,13.669,32.758,3374,36.899,11.371,1.351,2.483,1.294,2.379,0.838,1.249,2.182,1.266,2.212,0.747,1.335,3.13,1.317,3.087,1.345,1.291,2.429,1.253,2.182,1.328,3.182,1.082,2.036,1.291,2.429,1.079,1.879,1.253,2.182,1.119,2.682,1.328,3.182
111990720F,33.135,42.248,19.26,17623,16.765,10.191,32.547,41.627,18.639,14878,20.338,10.002,36.235,45.976,2561,8.55,10.596,32.186,34.171,41.006,18.639,13339,31.259,9.999,29.919,14.911,29.919,2409,26.345,11.004,33.339,20.503,33.339,6735,36.827,9.764,31.18,18.639,31.18,3268,35.739,9.496,1.466,2.88,1.364,2.68,0.965,1.326,2.182,1.252,2.061,0.646,1.397,2.4,1.286,2.21,0.718,1.371,2.75,1.249,2.03,1.275,2.133,1.069,2.146,1.371,2.75,1.062,1.727,1.249,2.03,1.046,1.75,1.275,2.133
111990747T,43.014,49.083,30.444,14242,13.548,7.556,42.927,49.083,29.822,12326,16.85,7.564,43.425,50.325,1788,5.97,7.44,42.923,45.355,49.083,29.822,10468,24.531,7.743,41.281,29.822,41.281,1908,20.866,7.495,43.308,29.822,43.308,5023,27.466,7.676,43.083,28.58,43.083,2772,30.315,7.942,1.079,1.5,1.154,1.604,0.39,1.033,1.469,1.148,1.633,0.423,1.039,1.565,1.141,1.717,0.506,1.159,1.604,1.148,1.667,1.139,1.717,1.054,1.458,1.159,1.604,1.062,1.542,1.148,1.667,1.067,1.609,1.139,1.717
111990748T,41.054,48.461,24.852,14392,13.691,9.167,40.932,48.461,24.852,12450,17.019,9.165,41.705,49.704,1811,6.046,9.102,40.963,44.112,48.461,24.541,10578,24.789,9.287,39.799,26.095,39.799,1913,20.921,8.465,41.433,25.473,41.433,5070,27.723,9.115,40.557,22.367,40.557,2813,30.763,10.0,1.12,1.714,1.182,1.81,0.531,1.08,1.756,1.185,1.927,0.626,1.099,1.984,1.191,2.149,0.805,1.186,1.81,1.17,1.902,1.195,2.167,1.062,1.619,1.186,1.81,1.08,1.756,1.17,1.902,1.095,1.986,1.195,2.167
111996193T,26.279,37.278,8.698,15889,15.115,12.106,26.193,37.278,8.698,13542,18.512,11.977,26.569,37.899,2184,7.292,12.697,24.957,27.958,36.035,8.077,11489,26.924,11.817,28.941,12.426,28.941,2480,27.122,10.755,24.419,8.077,24.419,5615,30.703,11.78,22.063,7.456,22.063,2557,27.964,11.854,1.54,3.6,1.347,3.15,1.338,1.824,5.538,1.444,4.385,2.037,2.01,6.0,1.507,4.5,1.986,1.352,3.15,1.45,4.385,1.492,4.416,1.095,2.55,1.352,3.15,1.119,3.385,1.45,4.385,1.098,3.25,1.492,4.416
111999150F,31.171,42.87,11.805,14766,14.047,12.769,31.202,42.87,11.618,12680,17.334,12.656,30.649,42.248,1939,6.474,13.486,30.766,34.171,42.248,11.183,11639,27.275,12.528,27.434,8.698,27.434,2466,26.969,13.767,31.679,13.669,31.679,5755,31.469,12.098,31.603,11.183,31.603,2797,30.588,12.029,1.593,5.143,1.482,4.786,2.229,1.423,3.429,1.364,3.286,1.409,1.432,3.83,1.332,3.564,1.675,1.495,4.714,1.353,3.136,1.337,3.778,1.116,3.521,1.495,4.714,1.079,2.5,1.353,3.136,1.121,3.167,1.337,3.778
111999151F,31.796,41.627,15.532,18324,17.432,10.855,31.298,41.006,15.532,15474,21.153,10.855,34.35,43.305,2656,8.868,10.438,30.939,33.55,40.384,14.911,13839,32.431,10.855,28.695,12.737,28.695,2535,27.723,11.688,32.069,16.464,32.069,6955,38.03,10.603,29.885,14.29,29.885,3384,37.008,10.655,1.525,3.429,1.398,3.143,1.248,1.381,2.667,1.285,2.481,0.931,1.463,3.13,1.3,2.783,1.14,1.386,3.122,1.284,2.502,1.289,2.696,1.061,2.39,1.386,3.122,1.066,2.075,1.284,2.502,1.081,2.261,1.289,2.696
23308158T,34.467,45.976,12.426,13107,12.469,12.879,34.572,45.976,12.426,11377,15.553,12.727,33.338,46.598,1608,5.369,13.857,34.559,39.763,45.976,12.426,9579,22.448,12.901,33.102,10.562,33.102,1820,19.904,12.403,35.187,13.669,35.187,4517,24.699,12.701,33.716,10.562,33.716,2531,27.679,13.384,1.355,4.235,1.336,4.176,2.126,1.289,3.429,1.325,3.524,1.66,1.32,4.235,1.356,4.353,2.209,1.333,4.176,1.307,3.364,1.364,4.353,1.126,3.529,1.333,4.176,1.148,2.954,1.307,3.364,1.161,3.706,1.364,4.353
23320268F,26.426,41.006,6.834,7828,7.447,14.333,26.5,41.006,6.834,6651,9.092,14.376,25.807,39.453,1099,3.669,14.014,26.23,29.512,41.006,6.834,6081,14.251,14.465,25.894,5.902,25.894,1323,14.469,15.125,27.125,7.456,27.125,2859,15.633,14.095,24.38,5.592,24.38,1464,16.01,14.346,1.908,8.0,1.622,6.8,3.193,1.848,6.666,1.541,5.558,2.608,2.042,8.888,1.608,7.0,3.352,1.632,7.158,1.535,5.583,1.618,7.055,1.128,4.948,1.632,7.158,1.122,4.083,1.535,5.583,1.109,4.833,1.618,7.055
23320270T,34.315,44.734,14.911,7082,6.737,11.675,34.276,44.734,14.911,6042,8.26,11.669,34.622,44.734,969,3.235,11.617,33.911,37.899,44.734,14.29,5357,12.554,11.775,33.968,10.562,33.968,914,9.996,12.978,34.124,14.29,34.124,2590,14.162,11.564,33.166,14.787,33.166,1513,16.546,11.244,1.454,4.706,1.345,4.353,2.237,1.451,3.333,1.306,3.0,1.297,1.495,3.478,1.327,3.087,1.326,1.335,4.294,1.311,3.13,1.33,2.983,1.116,3.588,1.335,4.294,1.111,2.652,1.311,3.13,1.105,2.479,1.33,2.983
23320380F,33.08,42.87,16.775,4645,4.419,10.127,32.885,42.248,16.775,4011,5.483,9.774,34.112,45.976,587,1.96,12.113,32.353,34.793,41.627,16.775,3696,8.661,9.47,33.353,16.154,33.353,590,6.452,9.426,33.0,18.639,33.0,1986,10.86,9.013,30.333,14.911,30.333,892,9.755,9.773,1.329,2.769,1.274,2.654,1.084,1.354,2.483,1.26,2.31,0.833,1.452,2.88,1.311,2.6,0.983,1.267,2.615,1.261,2.233,1.301,2.646,1.08,2.231,1.267,2.615,1.073,1.9,1.261,2.233,1.065,2.167,1.301,2.646
23320387F,32.974,42.87,14.911,5622,5.348,11.121,32.909,42.248,16.154,4699,6.424,10.655,33.112,44.734,851,2.841,13.307,32.434,35.414,41.627,16.154,4293,10.06,10.484,33.448,16.775,33.448,680,7.437,9.434,32.984,16.775,32.984,2263,12.374,10.074,30.731,14.29,30.731,1051,11.494,10.866,1.323,2.572,1.268,2.464,0.944,1.362,2.769,1.286,2.615,1.033,1.445,3.429,1.315,3.119,1.373,1.263,2.519,1.262,2.481,1.294,2.783,1.096,2.185,1.263,2.519,1.074,2.111,1.262,2.481,1.072,2.304,1.294,2.783
23320398F,35.852,45.355,18.639,7823,7.442,10.445,35.066,44.734,18.018,6364,8.7,10.378,39.207,47.219,1354,4.521,10.017,34.621,37.589,44.112,18.018,5768,13.517,10.333,35.168,17.396,35.168,919,10.05,10.058,34.874,18.018,34.874,2964,16.207,9.997,32.952,16.154,32.952,1460,15.967,10.748,1.257,2.483,1.274,2.517,0.975,1.26,2.4,1.26,2.4,0.905,1.307,2.667,1.289,2.63,1.04,1.272,2.572,1.265,2.448,1.301,2.654,1.095,2.214,1.272,2.572,1.087,2.103,1.265,2.448,1.075,2.192,1.301,2.654
23320410T,31.842,42.87,14.29,6121,5.823,11.212,30.989,42.248,14.29,5136,7.021,11.033,36.051,45.976,910,3.038,11.06,30.601,33.55,41.627,14.29,4639,10.871,11.022,31.792,15.532,31.792,951,10.4,10.498,30.364,13.669,30.364,2362,12.916,10.904,29.541,13.669,29.541,999,10.925,11.296,1.389,2.88,1.35,2.8,1.074,1.431,3.13,1.351,2.956,1.188,1.457,3.13,1.376,2.956,1.148,1.348,2.76,1.371,3.045,1.388,3.0,1.094,2.24,1.348,2.76,1.084,2.409,1.371,3.045,1.083,2.341,1.388,3.0
23320414F,36.947,47.219,18.639,7918,7.532,10.922,35.97,46.598,18.018,6462,8.834,10.83,41.228,49.704,1350,4.507,10.244,35.487,38.521,45.976,17.396,5845,13.698,10.832,36.063,16.775,36.063,923,10.094,10.528,35.615,18.639,35.615,2990,16.35,10.409,33.672,15.532,33.672,1509,16.503,11.395,1.222,2.572,1.29,2.714,1.104,1.227,2.4,1.278,2.5,0.956,1.272,2.769,1.321,2.877,1.177,1.292,2.778,1.273,2.433,1.329,2.88,1.085,2.333,1.292,2.778,1.082,2.067,1.273,2.433,1.089,2.36,1.329,2.88
23320565T,25.959,37.899,6.834,16506,15.702,12.628,25.685,37.899,6.834,13990,19.125,12.66,27.313,39.763,2335,7.796,12.203,24.868,27.958,36.657,6.213,11725,27.477,12.571,25.064,7.456,25.064,2093,22.889,12.503,24.86,6.834,24.86,5679,31.053,12.1,24.268,4.97,24.268,3030,33.136,13.521,1.761,6.0,1.468,5.0,2.407,1.78,6.0,1.434,4.833,2.371,1.817,9.001,1.54,7.626,3.953,1.463,4.916,1.45,5.273,1.536,7.501,1.091,3.666,1.463,4.916,1.125,4.091,1.45,5.273,1.152,5.625,1.536,7.501
23320566F,28.335,39.763,8.698,13832,13.158,12.744,27.92,39.763,8.077,11833,16.176,12.778,30.776,41.627,1870,6.243,12.126,27.65,31.065,39.142,8.077,10972,25.712,12.766,24.737,6.213,24.737,1795,19.63,13.41,28.656,8.077,28.656,5767,31.534,12.815,26.801,9.009,26.801,2729,29.845,12.32,1.771,7.2,1.525,6.2,3.065,1.539,5.143,1.389,4.643,2.342,1.643,4.8,1.369,4.0,1.922,1.507,6.0,1.409,5.0,1.345,4.0,1.13,4.5,1.507,6.0,1.127,4.0,1.409,5.0,1.09,3.241,1.345,4.0
23320571F,25.543,39.763,4.97,6781,6.451,13.857,25.071,39.142,4.97,5914,8.085,13.797,28.84,43.491,803,2.681,13.845,24.675,27.958,38.831,4.349,5521,12.938,13.688,24.18,4.97,24.18,1342,14.676,13.639,25.75,5.592,25.75,2759,15.086,13.337,22.073,3.106,22.073,1151,12.587,13.94,1.832,9.001,1.578,7.751,3.912,1.713,8.0,1.546,7.222,3.671,1.934,14.402,1.665,12.402,6.449,1.593,7.751,1.52,7.0,1.689,12.002,1.143,5.563,1.593,7.751,1.11,5.111,1.52,7.0,1.098,7.801,1.689,12.002
27593407F,27.87,37.899,11.183,15435,14.683,11.054,27.605,37.713,11.183,13165,17.997,10.858,29.363,40.384,2120,7.078,11.972,26.956,29.387,36.657,11.183,12054,28.248,10.588,27.931,13.047,27.931,1873,20.483,10.988,27.697,11.183,27.697,6429,35.154,10.371,24.26,10.562,24.26,3002,32.83,10.125,1.59,3.429,1.369,2.952,1.157,1.608,4.0,1.34,3.333,1.488,1.808,4.235,1.381,3.235,1.343,1.379,2.952,1.324,3.278,1.357,3.118,1.045,2.238,1.379,2.952,1.099,2.722,1.324,3.278,1.076,2.471,1.357,3.118
27616976T,31.907,42.87,14.911,5935,5.646,10.979,31.123,42.248,14.911,5020,6.862,10.795,36.022,45.355,847,2.828,10.957,30.784,33.55,41.627,14.911,4551,10.665,10.787,31.746,16.154,31.746,944,10.324,10.181,30.516,14.911,30.516,2308,12.62,10.526,29.796,14.29,29.796,979,10.706,11.317,1.393,2.769,1.335,2.654,0.988,1.425,3.0,1.346,2.833,1.105,1.456,3.13,1.355,2.913,1.15,1.331,2.615,1.344,2.75,1.376,2.87,1.096,2.154,1.331,2.615,1.079,2.208,1.344,2.75,1.105,2.304,1.376,2.87
27616977T,30.775,41.006,15.532,5929,5.64,10.263,30.38,40.384,15.532,4998,6.832,10.134,32.708,42.248,860,2.871,10.695,30.038,31.686,39.763,15.532,4537,10.632,10.057,31.137,16.775,31.137,927,10.138,9.618,29.882,15.532,29.882,2297,12.56,9.858,29.084,14.911,29.084,997,10.903,10.392,1.42,2.667,1.321,2.481,0.878,1.476,2.88,1.312,2.56,0.951,1.521,3.0,1.31,2.583,0.973,1.317,2.444,1.31,2.52,1.324,2.583,1.077,2.0,1.317,2.444,1.06,2.04,1.31,2.52,1.047,2.042,1.324,2.583
737718829F,40.713,48.461,27.337,3154,3.0,8.601,40.443,47.84,27.337,2817,3.851,8.371,42.779,51.568,313,1.045,10.149,39.855,41.627,47.219,27.337,2598,6.088,8.106,40.123,27.337,40.123,443,4.845,7.998,40.224,27.958,40.224,1375,7.519,7.977,38.883,26.095,38.883,652,7.13,8.248,1.369,1.978,1.2,1.733,0.444,1.367,1.978,1.183,1.711,0.447,1.408,2.119,1.218,1.833,0.505,1.192,1.75,1.174,1.689,1.198,1.786,1.053,1.545,1.192,1.75,1.05,1.511,1.174,1.689,1.055,1.571,1.198,1.786
737718829T,40.16,47.84,26.095,2945,2.802,8.495,39.811,47.84,26.095,2660,3.636,8.295,43.507,52.189,259,0.865,9.543,39.567,41.627,47.219,26.095,2420,5.671,8.365,39.892,26.716,39.892,553,6.048,8.092,39.857,26.716,39.857,1258,6.879,7.955,38.712,24.852,38.712,493,5.392,9.139,1.373,2.07,1.188,1.791,0.508,1.382,2.07,1.18,1.767,0.498,1.405,2.171,1.231,1.902,0.545,1.184,1.767,1.185,1.767,1.236,1.925,1.043,1.558,1.184,1.767,1.06,1.581,1.185,1.767,1.059,1.65,1.236,1.925
737718830F,38.694,46.598,24.231,3577,3.403,9.085,38.489,46.598,23.92,3216,4.396,9.016,40.628,47.84,330,1.102,9.419,37.887,40.384,45.355,23.609,2985,6.995,8.747,39.347,27.337,39.347,500,5.468,8.126,38.375,25.473,38.375,1535,8.393,8.306,36.134,19.882,36.134,806,8.815,9.586,1.403,2.023,1.198,1.727,0.442,1.434,2.171,1.184,1.793,0.514,1.514,2.697,1.208,2.151,0.781,1.2,1.727,1.182,1.781,1.221,2.219,1.058,1.523,1.2,1.727,1.052,1.585,1.182,1.781,1.083,1.969,1.221,2.219
737718830T,38.684,45.976,26.095,3339,3.176,8.384,38.471,45.976,25.473,3023,4.132,8.22,41.016,47.84,283,0.945,9.02,38.314,40.384,45.976,25.473,2768,6.487,8.219,39.048,27.337,39.048,637,6.966,7.646,38.736,26.716,38.736,1414,7.732,7.774,36.637,22.988,36.637,594,6.496,9.24,1.409,2.023,1.187,1.705,0.436,1.424,2.07,1.184,1.721,0.454,1.486,2.405,1.235,2.0,0.619,1.185,1.693,1.179,1.709,1.238,1.973,1.05,1.5,1.185,1.693,1.059,1.535,1.179,1.709,1.068,1.703,1.238,1.973
775719628F,30.174,39.453,14.911,13716,13.048,9.77,29.624,38.521,14.911,11687,15.976,9.594,33.308,42.87,1884,6.29,10.216,29.021,31.065,37.589,14.911,10655,24.97,9.415,31.534,18.018,31.534,1768,19.335,9.347,29.465,16.154,29.465,5546,30.326,8.76,25.814,11.805,25.814,2719,29.735,9.987,1.409,2.483,1.291,2.276,0.762,1.495,2.88,1.267,2.44,0.926,1.68,3.789,1.353,3.053,1.256,1.281,2.241,1.265,2.308,1.348,2.947,1.06,1.855,1.281,2.241,1.075,1.961,1.265,2.308,1.083,2.368,1.348,2.947
775719629F,27.949,37.899,11.805,13850,13.175,10.74,27.704,37.278,11.805,11750,16.062,10.545,29.112,39.763,1956,6.53,11.684,27.05,29.822,36.346,11.183,10730,25.145,10.343,31.293,17.396,31.293,1685,18.427,9.737,27.563,13.047,27.563,5592,30.577,9.672,22.996,8.822,22.996,2803,30.654,10.436,1.423,2.572,1.285,2.321,0.807,1.622,3.6,1.307,2.9,1.219,1.893,4.8,1.42,3.6,1.536,1.291,2.321,1.307,2.762,1.405,3.662,1.072,1.929,1.291,2.321,1.082,2.286,1.307,2.762,1.081,2.817,1.405,3.662
775719631T,30.809,41.006,14.29,15622,14.861,10.722,30.428,40.384,14.29,13402,18.321,10.514,33.131,44.112,2060,6.878,11.573,29.4,31.997,39.142,13.669,11269,26.408,10.441,31.169,16.154,31.169,2492,27.253,9.702,29.696,14.911,29.696,5541,30.299,10.284,26.342,11.183,26.342,2429,26.564,10.823,1.427,2.769,1.308,2.538,0.941,1.492,3.13,1.326,2.783,1.098,1.647,3.789,1.407,3.237,1.301,1.296,2.5,1.318,2.625,1.392,3.278,1.076,2.077,1.296,2.5,1.088,2.167,1.318,2.625,1.085,2.556,1.392,3.278
775719632T,30.403,40.384,14.29,15780,15.011,10.539,29.895,39.763,13.669,13528,18.493,10.484,33.422,42.87,2092,6.985,10.321,28.815,31.686,38.521,13.047,11414,26.748,10.411,31.319,16.775,31.319,2496,27.297,9.577,28.93,13.669,28.93,5582,30.523,10.263,25.515,10.562,25.515,2496,27.297,10.824,1.417,2.667,1.299,2.444,0.881,1.523,3.273,1.311,2.818,1.149,1.687,4.0,1.394,3.306,1.371,1.289,2.407,1.31,2.773,1.412,3.412,1.071,2.0,1.289,2.407,1.095,2.318,1.31,2.773,1.096,2.647,1.412,3.412
799468412F,25.784,36.657,7.456,13326,12.677,12.361,25.761,36.657,7.456,11246,15.373,12.182,25.785,37.278,1937,6.467,13.18,25.162,28.58,36.035,7.456,10239,23.995,12.003,28.188,6.834,28.188,1645,17.99,12.357,26.205,8.077,26.205,5154,28.182,11.356,21.191,6.524,21.191,2737,29.932,11.737,1.579,6.546,1.404,5.818,3.145,1.721,5.538,1.386,4.461,2.219,2.082,7.2,1.503,5.2,2.459,1.411,5.818,1.375,4.461,1.495,4.857,1.124,4.637,1.411,5.818,1.138,3.692,1.375,4.461,1.114,3.619,1.495,4.857
918450070T,32.834,42.87,15.222,8029,7.638,10.798,32.598,42.87,14.911,6872,9.394,10.669,34.038,45.044,1078,3.599,11.492,32.279,36.035,42.248,14.911,6302,14.768,10.702,31.31,13.669,31.31,1086,11.877,10.713,33.182,16.154,33.182,3271,17.886,10.372,30.711,13.047,30.711,1541,16.853,10.955,1.411,3.13,1.352,3.0,1.219,1.346,2.769,1.289,2.654,1.058,1.442,3.429,1.342,3.191,1.377,1.359,3.114,1.292,2.654,1.335,3.143,1.111,2.545,1.359,3.114,1.105,2.269,1.292,2.654,1.113,2.619,1.335,3.143
918450071T,36.118,45.355,19.26,8278,7.875,9.781,35.768,44.734,19.26,7066,9.659,9.728,37.982,47.219,1132,3.779,9.917,35.561,38.521,44.734,19.26,6483,15.193,9.797,34.234,17.396,34.234,1089,11.909,10.121,36.173,20.503,36.173,3377,18.466,9.412,34.765,18.018,34.765,1593,17.421,10.096,1.296,2.572,1.314,2.607,0.984,1.232,2.182,1.232,2.182,0.772,1.265,2.483,1.282,2.517,0.963,1.307,2.572,1.237,2.182,1.287,2.483,1.089,2.143,1.307,2.572,1.082,1.909,1.237,2.182,1.099,2.121,1.287,2.483
918450072F,34.941,45.355,17.396,9084,8.642,10.49,34.7,44.734,17.396,7744,10.586,10.47,36.177,45.976,1255,4.19,10.438,34.53,37.899,44.734,17.396,7222,16.924,10.489,34.286,18.639,34.286,1170,12.795,10.125,35.401,18.018,35.401,3678,20.112,10.135,33.058,14.911,33.058,1850,20.232,11.243,1.298,2.4,1.298,2.4,0.848,1.26,2.483,1.277,2.517,0.971,1.335,2.88,1.316,2.84,1.158,1.305,2.4,1.281,2.517,1.334,2.958,1.069,1.967,1.305,2.4,1.088,2.138,1.281,2.517,1.113,2.467,1.334,2.958
918450073F,36.988,47.219,19.882,9741,9.267,10.708,36.775,46.598,19.882,8279,11.318,10.523,38.197,48.461,1364,4.554,11.579,36.557,39.763,46.598,19.882,7722,18.096,10.533,35.614,19.26,35.614,1271,13.9,11.203,37.916,22.367,37.916,3935,21.517,9.805,34.662,17.396,34.662,1965,21.49,10.999,1.246,2.286,1.315,2.413,0.835,1.181,2.057,1.247,2.171,0.742,1.274,2.572,1.291,2.607,1.019,1.308,2.419,1.245,2.111,1.291,2.572,1.082,2.0,1.308,2.419,1.081,1.833,1.245,2.111,1.093,2.179,1.291,2.572
924629903T,39.316,47.84,24.852,11479,10.92,9.101,39.162,47.219,24.852,9889,13.518,8.966,40.211,49.083,1467,4.898,9.822,38.862,41.627,47.219,24.852,9101,21.328,8.935,38.641,23.609,38.641,1580,17.279,9.403,39.2,26.095,39.2,4781,26.143,8.457,37.78,23.609,37.78,2194,23.994,9.42,1.156,1.92,1.236,2.053,0.661,1.141,1.714,1.204,1.81,0.503,1.172,1.846,1.237,1.949,0.575,1.23,2.013,1.189,1.786,1.233,1.974,1.085,1.776,1.23,2.013,1.062,1.595,1.189,1.786,1.069,1.711,1.233,1.974
924629904T,39.476,48.461,24.231,11765,11.192,10.147,39.287,47.84,24.231,10107,13.816,9.975,40.621,49.704,1524,5.088,11.023,38.957,42.248,47.84,23.609,9317,21.834,9.989,39.871,25.473,39.871,1653,18.077,8.609,39.779,24.852,39.779,4837,26.449,9.448,36.391,19.882,36.391,2256,24.672,11.253,1.119,1.756,1.203,1.888,0.569,1.123,1.8,1.217,1.95,0.603,1.21,2.182,1.277,2.303,0.804,1.2,1.878,1.203,1.925,1.28,2.344,1.075,1.683,1.2,1.878,1.078,1.725,1.203,1.925,1.093,2.0,1.28,2.344
924629905F,40.847,49.083,26.095,10682,10.162,9.143,40.67,48.461,26.095,9236,12.626,8.993,41.974,50.947,1339,4.47,9.917,40.388,43.491,48.461,26.095,8508,19.938,8.977,40.13,25.473,40.13,1483,16.218,8.92,40.814,27.337,40.814,4489,24.546,8.462,39.169,24.852,39.169,2027,22.168,9.603,1.114,1.756,1.206,1.902,0.577,1.094,1.636,1.185,1.773,0.496,1.128,1.8,1.222,1.95,0.596,1.208,1.902,1.187,1.773,1.221,1.925,1.068,1.683,1.208,1.902,1.066,1.591,1.187,1.773,1.079,1.7,1.221,1.925
924629910F,38.336,46.908,21.746,12172,11.579,9.785,38.359,46.598,22.367,10448,14.283,9.577,38.035,47.405,1595,5.325,10.973,38.51,42.248,47.219,21.435,8922,20.908,9.778,36.692,18.639,36.692,1673,18.296,10.485,39.558,25.473,39.558,4455,24.36,8.9,38.0,18.639,38.0,2112,23.097,10.873,1.212,2.323,1.279,2.452,0.916,1.14,1.846,1.203,1.949,0.62,1.176,2.4,1.241,2.533,1.041,1.27,2.5,1.194,1.854,1.234,2.517,1.101,2.167,1.27,2.5,1.068,1.659,1.194,1.854,1.128,2.3,1.234,2.517
924629911F,40.636,47.84,26.095,12322,11.722,8.65,40.537,47.84,26.095,10590,14.477,8.555,41.203,49.083,1602,5.349,9.15,40.531,43.491,47.84,25.473,9055,21.22,8.792,39.989,24.231,39.989,1647,18.012,9.224,41.12,27.337,41.12,4517,24.699,8.123,40.043,22.367,40.043,2200,24.059,9.67,1.113,1.8,1.205,1.95,0.618,1.089,1.636,1.165,1.75,0.502,1.112,2.0,1.186,2.133,0.798,1.212,2.0,1.163,1.75,1.179,2.111,1.072,1.769,1.212,2.0,1.065,1.602,1.163,1.75,1.086,1.944,1.179,2.111
924629912T,41.1,48.461,25.473,11359,10.806,9.409,40.901,47.84,26.095,9808,13.408,9.133,42.224,50.947,1436,4.794,10.978,41.057,44.112,48.461,24.852,8360,19.591,9.348,39.93,23.609,39.93,1550,16.951,9.614,41.679,27.958,41.679,4213,23.037,8.646,40.804,20.503,40.804,1971,21.555,10.419,1.114,1.895,1.222,2.079,0.701,1.073,1.636,1.162,1.773,0.526,1.09,2.118,1.181,2.294,0.943,1.214,2.053,1.163,1.733,1.172,2.333,1.074,1.816,1.214,2.053,1.058,1.578,1.163,1.733,1.081,2.151,1.172,2.333
997244940T,43.032,51.568,25.473,5861,5.576,9.65,42.433,51.568,24.852,5057,6.913,9.653,46.981,54.053,747,2.494,8.662,41.938,45.355,50.947,24.852,4620,10.827,9.633,41.489,22.988,41.489,794,8.683,10.2,43.215,28.58,43.215,2105,11.51,8.764,40.037,22.367,40.037,1477,16.153,10.246,1.181,2.105,1.211,2.158,0.783,1.137,1.739,1.18,1.804,0.53,1.219,2.222,1.234,2.25,0.823,1.213,2.189,1.193,1.804,1.241,2.222,1.093,1.973,1.213,2.189,1.071,1.62,1.193,1.804,1.102,1.972,1.241,2.222
